Возраст,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
63,"24,091","35,213","43,397","43,269","47,755","51,264","50,520","52,595","53,767","58,655","59,403","62,921","66,772","74,926","77,967","83,549","83,548"
64,"18,917","23,259","33,863","41,678","41,577","46,081","49,532","48,840","50,963","52,143","56,885","57,499","60,679","69,031","72,932","75,939","81,406"
65,"20,354","18,174","22,400","32,457","40,002","40,064","44,304","47,825","47,101","49,256","50,498","55,110","55,134","61,441","67,063","70,884","73,842"
66,"30,180","19,475","17,401","21,461","31,052","38,347","38,550","42,562","46,080","45,302","47,459","48,743","52,796","57,748","59,516","65,149","68,779"
67,"33,655","28,818","18,604","16,668","20,595","29,797","36,718","37,010","40,799","44,352","43,569","45,566","46,641","53,427","55,849","57,660","63,059"
68,"38,069","31,953","27,377","17,700","15,889","19,743","28,502","35,150","35,385","39,095","42,546","41,801","43,303","47,745","51,501","53,932","55,753"
69,"36,239","36,047","30,262","25,991","16,869","15,153","18,871","27,208","33,492","33,776","37,307","40,780","39,498","44,844","45,930","49,564","51,969"
70,"36,379","34,110","33,993","28,552","24,690","16,063","14,386","18,081","25,834","31,902","32,134","35,497","38,443","41,502","43,043","44,166","47,607"
71,"35,031","34,049","31,993","31,971","26,913","23,358","15,213","13,663","17,208","24,453","30,311","30,439","33,068","37,443","39,655","41,199","42,269"
72,"29,985","32,667","31,750","29,868","30,002","25,338","21,969","14,430","12,870","16,330","23,162","28,582","28,275","33,768","35,656","37,758","39,388"
73,"20,684","27,901","30,382","29,480","27,757","28,146","23,833","20,639","13,551","12,111","15,500","21,891","26,390","28,487","31,937","33,807","35,922"
74,"15,501","19,126","25,825","28,104","27,256","25,734","26,322","22,266","19,328","12,704","11,362","14,642","20,086","26,357","26,913","30,236","32,023"
75,"12,231","14,341","17,504","23,749","25,881","25,105","23,855","24,504","20,682","18,029","11,872","10,636","13,502","19,565","24,755","25,370","28,538"
76,"14,397","11,141","13,106","16,002","21,761","23,764","23,067","21,984","22,670","19,181","16,730","11,007","9,690","11,839","18,412","23,241","23,835"
77,"11,052","13,056","10,044","11,907","14,498","19,900","21,697","21,153","20,202","20,902","17,695","15,449","9,933","8,830","11,023","17,150","21,733"
78,"14,376","9,906","11,792","9,058","10,755","13,172","18,123","19,785","19,312","18,390","19,181","16,274","13,801","8,712","8,165","10,271","15,970"
79,"10,866","12,831","8,793","10,570","8,007","9,617","11,815","16,429","17,803","17,458","16,640","17,436","14,439","12,448","8,029","7,552","9,517"
80,"11,011","9,537","11,317","7,762","9,403","7,168","8,553","10,534","14,733","15,930","15,656","14,987","15,307","13,038","11,356","7,400","6,968"
81,"8,471","9,632","8,281","9,946","6,773","8,312","6,324","7,552","9,286","13,089","14,132","13,958","12,948","13,347","11,851","10,314","6,739"
82,"7,029","7,334","8,347","7,128","8,631","5,856","7,258","5,514","6,549","8,187","11,496","12,397","11,819","12,343","11,960","10,854","9,352"
83,"5,035","6,118","6,308","7,140","6,029","7,455","5,042","6,319","4,811","5,728","7,161","9,982","10,456","11,338","10,972","10,801","9,775"
84,"4,356","4,261","5,261","5,334","6,033","5,070","6,379","4,338","5,423","4,127","4,867","6,196","8,278","9,975","9,974","9,829","9,627"
85,"2,870","3,716","3,622","4,364","4,461","5,084","4,262","5,397","3,638","4,620","3,567","4,255","5,045","7,641","8,766","8,878","8,772"
86,"2,262","2,473","3,092","3,029","3,564","3,667","4,227","3,585","4,522","3,101","3,919","3,098","3,492","4,961","6,611","7,770","7,853"
87,"1,481","1,904","2,023","2,556","2,479","2,928","3,045","3,507","2,975","3,833","2,645","3,384","2,607","3,337","4,333","5,810","6,834"
88,"1,430","1,204","1,521","1,636","2,109","2,045","2,395","2,507","2,853","2,495","3,288","2,243","2,810","2,368","2,883","3,845","5,099"
89,836,"1,142",965,"1,239","1,304","1,770","1,686","1,981","2,039","2,377","2,094","2,845","1,886","2,455","2,032","2,530","3,398"
90,789,657,916,777,981,"1,056","1,461","1,413","1,647","1,708","1,974","1,799","2,415","1,825","2,130","1,798","2,257"
91,483,586,511,748,626,821,856,"1,204","1,212","1,390","1,444","1,687","1,495","1,959","1,587","1,895","1,588"
92,413,350,425,419,609,499,672,715,"1,038","1,049","1,200","1,243","1,442","1,579","1,711","1,431","1,706"
93,290,300,268,322,342,493,432,551,628,926,923,"1,078","1,112","1,288","1,409","1,523","1,296"
94,290,230,240,217,247,285,440,373,494,569,835,853,971,570,"1,132","1,287","1,401"
95,201,212,175,188,188,208,250,390,336,448,532,787,791,348,475,"1,034","1,203"
96,176,147,174,148,158,167,187,223,354,314,415,508,747,209,290,417,976
97,144,122,106,143,127,137,152,162,203,331,296,401,511,169,172,248,365
98,97,119,105,86,121,113,120,150,151,195,323,302,396,103,136,147,221
99,32,70,99,95,79,112,112,112,148,146,188,333,300,66,92,114,131
100+,131,74,121,208,285,330,411,478,539,635,712,853,"1,110",44,81,136,225
