Возраст,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
63,"32,688","49,469","59,800","61,817","67,257","72,701","71,053","73,668","74,549","80,128","80,747","85,220","88,701","97,555","101,789","107,527","106,567"
64,"25,947","32,159","48,572","58,740","60,785","66,218","71,685","70,004","72,615","73,599","79,151","79,704","83,909","92,039","96,511","100,761","106,399"
65,"28,459","25,411","31,567","47,620","57,713","59,773","65,145","70,612","68,898","71,550","72,547","78,024","78,305","84,413","90,997","95,493","99,670"
66,"45,942","27,922","24,881","30,930","46,710","56,676","58,677","64,040","69,498","67,747","70,467","71,492","76,605","81,530","83,380","89,861","94,369"
67,"51,585","44,920","27,314","24,323","30,315","45,791","55,506","57,601","62,817","68,298","66,596","69,214","70,053","76,936","80,353","82,335","88,685"
68,"60,088","50,382","43,849","26,623","23,765","29,671","44,832","54,371","56,399","61,575","67,046","65,275","67,618","70,624","75,807","79,130","81,149"
69,"58,454","58,550","49,042","42,721","25,915","23,236","29,060","43,878","53,154","55,230","60,261","65,777","63,602","68,937","69,363","74,624","77,866"
70,"58,237","56,623","56,836","47,528","41,573","25,255","22,645","28,387","42,820","51,882","53,988","58,862","63,966","66,194","67,511","68,021","73,345"
71,"54,453","56,208","54,686","55,020","46,143","40,388","24,537","22,027","27,674","41,743","50,550","52,693","57,018","62,263","64,773","66,139","66,696"
72,"48,935","52,428","54,160","52,714","53,137","44,685","39,239","23,817","21,391","26,990","40,622","49,136","50,911","57,735","60,673","63,310","64,674"
73,"36,372","46,953","50,352","52,077","50,741","51,299","43,188","38,022","23,065","20,728","26,217","39,410","47,316","50,300","56,201","59,142","61,773"
74,"27,089","34,702","44,837","48,138","49,909","48,712","49,301","41,638","36,714","22,301","20,031","25,357","37,850","47,711","48,838","54,594","57,530"
75,"22,324","25,736","32,996","42,646","45,861","47,699","46,655","47,379","40,041","35,317","21,439","19,339","24,199","37,167","46,147","47,360","52,878"
76,"27,639","21,126","24,283","31,200","40,503","43,608","45,455","44,557","45,347","38,289","33,846","20,573","18,365","21,948","35,819","44,516","45,692"
77,"20,787","25,938","19,793","22,753","29,301","38,430","41,305","43,150","42,285","43,201","36,579","32,284","19,414","17,286","21,031","34,489","42,775"
78,"29,115","19,378","24,147","18,406","21,274","27,497","36,175","38,899","40,722","39,987","40,920","34,704","30,201","17,466","16,449","20,098","32,986"
79,"24,575","26,987","17,927","22,406","17,085","19,848","25,803","33,868","36,369","38,314","37,636","38,615","32,360","27,059","16,542","15,623","19,159"
80,"26,867","22,441","24,815","16,479","20,641","15,737","18,401","23,991","31,491","33,884","35,736","35,102","35,610","30,512","25,390","15,604","14,807"
